# Unicorn 5 Synthetic Chromatogram
Run_001_UV	Run_001_Cond	Run_001_pH	Run_001_Conc
mL	mAU	mL	mS/cm	mL	pH	mL	%
3.005	60.72	3.005	5.81	3.005	6.90	3.005	10.02
3.055	46.24	3.055	5.87	3.055	7.02	3.055	10.18
3.105	58.89	3.105	5.93	3.105	6.91	3.105	10.35
3.155	43.91	3.155	6.00	3.155	6.96	3.155	10.52
3.205	45.10	3.205	6.06	3.205	6.90	3.205	10.68
3.255	57.62	3.255	6.12	3.255	6.85	3.255	10.85
3.306	50.89	3.306	6.19	3.306	6.91	3.306	11.02
3.356	43.17	3.356	6.25	3.356	6.97	3.356	11.19
3.406	41.88	3.406	6.31	3.406	6.92	3.406	11.35
3.456	61.18	3.456	6.38	3.456	6.94	3.456	11.52
3.506	47.79	3.506	6.44	3.506	6.85	3.506	11.69
3.556	58.38	3.556	6.50	3.556	6.92	3.556	11.85
3.606	42.21	3.606	6.57	3.606	6.88	3.606	12.02
3.656	48.52	3.656	6.63	3.656	6.97	3.656	12.19
3.706	64.89	3.706	6.69	3.706	6.92	3.706	12.35
3.756	36.93	3.756	6.76	3.756	6.88	3.756	12.52
3.806	68.23	3.806	6.82	3.806	6.93	3.806	12.69
3.856	53.53	3.856	6.88	3.856	6.82	3.856	12.85
3.907	52.17	3.907	6.95	3.907	6.89	3.907	13.02
3.957	66.82	3.957	7.01	3.957	6.85	3.957	13.19
4.007	64.67	4.007	7.08	4.007	6.79	4.007	13.36
4.057	35.97	4.057	7.14	4.057	6.87	4.057	13.52
4.107	53.73	4.107	7.20	4.107	6.86	4.107	13.69
4.157	26.23	4.157	7.27	4.157	6.89	4.157	13.86
4.207	60.77	4.207	7.33	4.207	6.92	4.207	14.02
4.257	52.25	4.257	7.39	4.257	6.83	4.257	14.19
4.307	54.31	4.307	7.46	4.307	6.80	4.307	14.36
4.357	40.14	4.357	7.52	4.357	6.93	4.357	14.52
4.407	48.43	4.407	7.58	4.407	6.88	4.407	14.69
4.457	55.83	4.457	7.65	4.457	6.85	4.457	14.86
4.508	58.69	4.508	7.71	4.508	6.90	4.508	15.03
4.558	39.31	4.558	7.77	4.558	6.93	4.558	15.19
4.608	63.63	4.608	7.84	4.608	6.84	4.608	15.36
4.658	35.83	4.658	7.90	4.658	6.80	4.658	15.53
4.708	41.52	4.708	7.96	4.708	6.72	4.708	15.69
4.758	58.01	4.758	8.03	4.758	6.91	4.758	15.86
4.808	51.81	4.808	8.09	4.808	6.83	4.808	16.03
4.858	42.88	4.858	8.15	4.858	6.80	4.858	16.19
4.908	46.25	4.908	8.22	4.908	6.83	4.908	16.36
4.958	54.56	4.958	8.28	4.958	6.81	4.958	16.53
5.008	62.24	5.008	8.34	5.008	6.85	5.008	16.69
5.058	36.59	5.058	8.41	5.058	6.84	5.058	16.86
5.109	47.42	5.109	8.47	5.109	6.81	5.109	17.03
5.159	53.33	5.159	8.53	5.159	6.83	5.159	17.20
5.209	42.02	5.209	8.60	5.209	6.82	5.209	17.36
5.259	40.12	5.259	8.66	5.259	6.81	5.259	17.53
5.309	49.54	5.309	8.72	5.309	6.76	5.309	17.70
5.359	44.80	5.359	8.79	5.359	6.87	5.359	17.86
5.409	35.10	5.409	8.85	5.409	6.79	5.409	18.03
5.459	46.33	5.459	8.91	5.459	6.82	5.459	18.20
5.509	40.01	5.509	8.98	5.509	6.81	5.509	18.36
5.559	45.22	5.559	9.04	5.559	6.90	5.559	18.53
5.609	45.43	5.609	9.11	5.609	6.75	5.609	18.70
5.659	66.29	5.659	9.17	5.659	6.76	5.659	18.86
5.710	41.67	5.710	9.23	5.710	6.81	5.710	19.03
5.760	54.48	5.760	9.30	5.760	6.84	5.760	19.20
5.810	64.14	5.810	9.36	5.810	6.84	5.810	19.37
5.860	65.02	5.860	9.42	5.860	6.88	5.860	19.53
5.910	41.28	5.910	9.49	5.910	6.84	5.910	19.70
5.960	55.88	5.960	9.55	5.960	6.84	5.960	19.87
6.010	30.66	6.010	9.61	6.010	6.83	6.010	20.03
6.060	25.11	6.060	9.68	6.060	6.88	6.060	20.20
6.110	44.16	6.110	9.74	6.110	6.88	6.110	20.37
6.160	41.14	6.160	9.80	6.160	6.88	6.160	20.53
6.210	49.87	6.210	9.87	6.210	6.89	6.210	20.70
6.260	50.48	6.260	9.93	6.260	6.90	6.260	20.87
6.311	56.34	6.311	9.99	6.311	6.69	6.311	21.04
6.361	61.88	6.361	10.06	6.361	6.90	6.361	21.20
6.411	65.73	6.411	10.12	6.411	6.80	6.411	21.37
6.461	39.92	6.461	10.18	6.461	6.80	6.461	21.54
6.511	63.75	6.511	10.25	6.511	6.81	6.511	21.70
6.561	45.76	6.561	10.31	6.561	6.80	6.561	21.87
6.611	68.31	6.611	10.37	6.611	6.77	6.611	22.04
6.661	55.21	6.661	10.44	6.661	6.75	6.661	22.20
6.711	48.73	6.711	10.50	6.711	6.78	6.711	22.37
6.761	33.20	6.761	10.56	6.761	6.82	6.761	22.54
6.811	59.84	6.811	10.63	6.811	6.83	6.811	22.70
6.861	57.45	6.861	10.69	6.861	6.75	6.861	22.87
6.912	48.12	6.912	10.75	6.912	6.81	6.912	23.04
6.962	54.36	6.962	10.82	6.962	6.70	6.962	23.21
7.012	61.67	7.012	10.88	7.012	6.78	7.012	23.37
7.062	60.59	7.062	10.94	7.062	6.82	7.062	23.54
7.112	29.50	7.112	11.01	7.112	6.76	7.112	23.71
7.162	36.75	7.162	11.07	7.162	6.68	7.162	23.87
7.212	43.57	7.212	11.14	7.212	6.67	7.212	24.04
7.262	60.57	7.262	11.20	7.262	6.79	7.262	24.21
7.312	56.00	7.312	11.26	7.312	6.79	7.312	24.37
7.362	40.94	7.362	11.33	7.362	6.75	7.362	24.54
7.412	63.23	7.412	11.39	7.412	6.80	7.412	24.71
7.462	40.00	7.462	11.45	7.462	6.76	7.462	24.87
7.513	51.34	7.513	11.52	7.513	6.73	7.513	25.04
7.563	59.24	7.563	11.58	7.563	6.76	7.563	25.21
7.613	44.70	7.613	11.64	7.613	6.73	7.613	25.38
7.663	45.72	7.663	11.71	7.663	6.71	7.663	25.54
7.713	38.64	7.713	11.77	7.713	6.67	7.713	25.71
7.763	63.89	7.763	11.83	7.763	6.76	7.763	25.88
7.813	33.85	7.813	11.90	7.813	6.74	7.813	26.04
7.863	33.09	7.863	11.96	7.863	6.78	7.863	26.21
7.913	49.58	7.913	12.02	7.913	6.73	7.913	26.38
7.963	46.73	7.963	12.09	7.963	6.70	7.963	26.54
8.013	57.25	8.013	12.15	8.013	6.77	8.013	26.71
8.063	40.51	8.063	12.21	8.063	6.77	8.063	26.88
8.114	67.50	8.114	12.28	8.114	6.67	8.114	27.05
8.164	57.09	8.164	12.34	8.164	6.71	8.164	27.21
8.214	53.03	8.214	12.40	8.214	6.79	8.214	27.38
8.264	48.06	8.264	12.47	8.264	6.76	8.264	27.55
8.314	49.66	8.314	12.53	8.314	6.75	8.314	27.71
8.364	52.85	8.364	12.59	8.364	6.73	8.364	27.88
8.414	60.34	8.414	12.66	8.414	6.71	8.414	28.05
8.464	37.55	8.464	12.72	8.464	6.66	8.464	28.21
8.514	42.87	8.514	12.78	8.514	6.68	8.514	28.38
8.564	61.62	8.564	12.85	8.564	6.72	8.564	28.55
8.614	54.66	8.614	12.91	8.614	6.73	8.614	28.71
8.664	67.70	8.664	12.97	8.664	6.59	8.664	28.88
8.715	56.78	8.715	13.04	8.715	6.64	8.715	29.05
8.765	59.75	8.765	13.10	8.765	6.73	8.765	29.22
8.815	45.21	8.815	13.17	8.815	6.75	8.815	29.38
8.865	46.66	8.865	13.23	8.865	6.70	8.865	29.55
8.915	60.14	8.915	13.29	8.915	6.71	8.915	29.72
8.965	31.73	8.965	13.36	8.965	6.77	8.965	29.88
9.015	36.10	9.015	13.42	9.015	6.74	9.015	30.05
9.065	43.84	9.065	13.48	9.065	6.69	9.065	30.22
9.115	57.05	9.115	13.55	9.115	6.71	9.115	30.38
9.165	56.17	9.165	13.61	9.165	6.74	9.165	30.55
9.215	38.72	9.215	13.67	9.215	6.61	9.215	30.72
9.265	47.63	9.265	13.74	9.265	6.69	9.265	30.88
9.316	34.07	9.316	13.80	9.316	6.87	9.316	31.05
9.366	43.16	9.366	13.86	9.366	6.58	9.366	31.22
9.416	67.27	9.416	13.93	9.416	6.62	9.416	31.39
9.466	40.35	9.466	13.99	9.466	6.62	9.466	31.55
9.516	50.98	9.516	14.05	9.516	6.67	9.516	31.72
9.566	54.94	9.566	14.12	9.566	6.74	9.566	31.89
9.616	57.92	9.616	14.18	9.616	6.69	9.616	32.05
9.666	65.35	9.666	14.24	9.666	6.75	9.666	32.22
9.716	72.78	9.716	14.31	9.716	6.64	9.716	32.39
9.766	49.01	9.766	14.37	9.766	6.65	9.766	32.55
9.816	47.32	9.816	14.43	9.816	6.65	9.816	32.72
9.866	46.35	9.866	14.50	9.866	6.68	9.866	32.89
9.917	49.19	9.917	14.56	9.917	6.71	9.917	33.06
9.967	62.23	9.967	14.62	9.967	6.66	9.967	33.22
10.017	52.59	10.017	14.69	10.017	6.72	10.017	33.39
10.067	66.21	10.067	14.75	10.067	6.64	10.067	33.56
10.117	47.02	10.117	14.81	10.117	6.61	10.117	33.72
10.167	60.57	10.167	14.88	10.167	6.71	10.167	33.89
10.217	63.04	10.217	14.94	10.217	6.62	10.217	34.06
10.267	69.05	10.267	15.01	10.267	6.62	10.267	34.22
10.317	47.55	10.317	15.07	10.317	6.66	10.317	34.39
10.367	28.46	10.367	15.13	10.367	6.60	10.367	34.56
10.417	54.82	10.417	15.20	10.417	6.63	10.417	34.72
10.467	57.68	10.467	15.26	10.467	6.61	10.467	34.89
10.518	47.45	10.518	15.32	10.518	6.61	10.518	35.06
10.568	62.96	10.568	15.39	10.568	6.64	10.568	35.23
10.618	30.44	10.618	15.45	10.618	6.57	10.618	35.39
10.668	59.47	10.668	15.51	10.668	6.60	10.668	35.56
10.718	52.13	10.718	15.58	10.718	6.65	10.718	35.73
10.768	36.44	10.768	15.64	10.768	6.65	10.768	35.89
10.818	31.51	10.818	15.70	10.818	6.68	10.818	36.06
10.868	49.96	10.868	15.77	10.868	6.58	10.868	36.23
10.918	45.70	10.918	15.83	10.918	6.57	10.918	36.39
10.968	39.29	10.968	15.89	10.968	6.48	10.968	36.56
11.018	40.26	11.018	15.96	11.018	6.65	11.018	36.73
11.068	62.47	11.068	16.02	11.068	6.58	11.068	36.89
11.119	55.28	11.119	16.08	11.119	6.55	11.119	37.06
11.169	43.12	11.169	16.15	11.169	6.65	11.169	37.23
11.219	42.25	11.219	16.21	11.219	6.59	11.219	37.40
11.269	61.78	11.269	16.27	11.269	6.58	11.269	37.56
11.319	44.78	11.319	16.34	11.319	6.59	11.319	37.73
11.369	66.44	11.369	16.40	11.369	6.58	11.369	37.90
11.419	63.03	11.419	16.46	11.419	6.63	11.419	38.06
11.469	49.71	11.469	16.53	11.469	6.67	11.469	38.23
11.519	61.79	11.519	16.59	11.519	6.63	11.519	38.40
11.569	41.26	11.569	16.65	11.569	6.61	11.569	38.56
11.619	57.07	11.619	16.72	11.619	6.53	11.619	38.73
11.669	48.18	11.669	16.78	11.669	6.61	11.669	38.90
11.720	58.77	11.720	16.84	11.720	6.54	11.720	39.07
11.770	49.05	11.770	16.91	11.770	6.66	11.770	39.23
11.820	37.38	11.820	16.97	11.820	6.61	11.820	39.40
11.870	70.48	11.870	17.04	11.870	6.60	11.870	39.57
11.920	47.64	11.920	17.10	11.920	6.71	11.920	39.73
11.970	72.31	11.970	17.16	11.970	6.57	11.970	39.90
12.020	65.68	12.020	17.23	12.020	6.69	12.020	40.07
12.070	60.53	12.070	17.29	12.070	6.51	12.070	40.23
12.120	50.02	12.120	17.35	12.120	6.53	12.120	40.40
12.170	62.23	12.170	17.42	12.170	6.57	12.170	40.57
12.220	67.09	12.220	17.48	12.220	6.52	12.220	40.73
12.270	51.87	12.270	17.54	12.270	6.61	12.270	40.90
12.321	63.99	12.321	17.61	12.321	6.62	12.321	41.07
12.371	62.80	12.371	17.67	12.371	6.56	12.371	41.24
12.421	77.43	12.421	17.73	12.421	6.55	12.421	41.40
12.471	40.68	12.471	17.80	12.471	6.56	12.471	41.57
12.521	61.36	12.521	17.86	12.521	6.54	12.521	41.74
12.571	74.61	12.571	17.92	12.571	6.53	12.571	41.90
12.621	67.77	12.621	17.99	12.621	6.55	12.621	42.07
12.671	60.20	12.671	18.05	12.671	6.52	12.671	42.24
12.721	58.77	12.721	18.11	12.721	6.62	12.721	42.40
12.771	64.84	12.771	18.18	12.771	6.61	12.771	42.57
12.821	68.67	12.821	18.24	12.821	6.54	12.821	42.74
12.871	76.87	12.871	18.30	12.871	6.56	12.871	42.90
12.922	70.68	12.922	18.37	12.922	6.68	12.922	43.07
12.972	94.56	12.972	18.43	12.972	6.52	12.972	43.24
13.022	76.35	13.022	18.49	13.022	6.61	13.022	43.41
13.072	78.65	13.072	18.56	13.072	6.54	13.072	43.57
13.122	93.76	13.122	18.62	13.122	6.61	13.122	43.74
13.172	87.08	13.172	18.68	13.172	6.53	13.172	43.91
13.222	79.39	13.222	18.75	13.222	6.54	13.222	44.07
13.272	92.67	13.272	18.81	13.272	6.63	13.272	44.24
13.322	94.39	13.322	18.87	13.322	6.51	13.322	44.41
13.372	94.53	13.372	18.94	13.372	6.52	13.372	44.57
13.422	102.71	13.422	19.00	13.422	6.59	13.422	44.74
13.472	106.85	13.472	19.07	13.472	6.57	13.472	44.91
13.523	115.77	13.523	19.13	13.523	6.51	13.523	45.08
13.573	123.48	13.573	19.19	13.573	6.57	13.573	45.24
13.623	116.17	13.623	19.26	13.623	6.57	13.623	45.41
13.673	143.16	13.673	19.32	13.673	6.46	13.673	45.58
13.723	112.75	13.723	19.38	13.723	6.50	13.723	45.74
13.773	132.22	13.773	19.45	13.773	6.61	13.773	45.91
13.823	130.58	13.823	19.51	13.823	6.63	13.823	46.08
13.873	136.87	13.873	19.57	13.873	6.48	13.873	46.24
13.923	149.58	13.923	19.64	13.923	6.62	13.923	46.41
13.973	159.43	13.973	19.70	13.973	6.51	13.973	46.58
14.023	175.23	14.023	19.76	14.023	6.56	14.023	46.74
14.073	182.56	14.073	19.83	14.073	6.51	14.073	46.91
14.124	187.01	14.124	19.89	14.124	6.57	14.124	47.08
14.174	186.29	14.174	19.95	14.174	6.64	14.174	47.25
14.224	191.45	14.224	20.02	14.224	6.50	14.224	47.41
14.274	189.89	14.274	20.08	14.274	6.47	14.274	47.58
14.324	209.34	14.324	20.14	14.324	6.50	14.324	47.75
14.374	211.39	14.374	20.21	14.374	6.55	14.374	47.91
14.424	201.10	14.424	20.27	14.424	6.61	14.424	48.08
14.474	221.04	14.474	20.33	14.474	6.55	14.474	48.25
14.524	235.49	14.524	20.40	14.524	6.55	14.524	48.41
14.574	232.37	14.574	20.46	14.574	6.46	14.574	48.58
14.624	230.85	14.624	20.52	14.624	6.50	14.624	48.75
14.674	256.29	14.674	20.59	14.674	6.52	14.674	48.91
14.725	247.55	14.725	20.65	14.725	6.47	14.725	49.08
14.775	232.32	14.775	20.71	14.775	6.56	14.775	49.25
14.825	257.35	14.825	20.78	14.825	6.60	14.825	49.42
14.875	253.42	14.875	20.84	14.875	6.52	14.875	49.58
14.925	250.22	14.925	20.90	14.925	6.53	14.925	49.75
14.975	256.71	14.975	20.97	14.975	6.51	14.975	49.92
15.025	265.35	15.025	21.03	15.025	6.48	15.025	50.08
15.075	252.36	15.075	21.10	15.075	6.51	15.075	50.25
15.125	247.18	15.125	21.16	15.125	6.56	15.125	50.42
15.175	253.28	15.175	21.22	15.175	6.49	15.175	50.58
15.225	257.03	15.225	21.29	15.225	6.41	15.225	50.75
15.275	258.83	15.275	21.35	15.275	6.44	15.275	50.92
15.326	225.21	15.326	21.41	15.326	6.44	15.326	51.09
15.376	243.39	15.376	21.48	15.376	6.51	15.376	51.25
15.426	256.44	15.426	21.54	15.426	6.46	15.426	51.42
15.476	218.49	15.476	21.60	15.476	6.40	15.476	51.59
15.526	221.75	15.526	21.67	15.526	6.47	15.526	51.75
15.576	202.17	15.576	21.73	15.576	6.41	15.576	51.92
15.626	229.47	15.626	21.79	15.626	6.44	15.626	52.09
15.676	194.00	15.676	21.86	15.676	6.54	15.676	52.25
15.726	193.62	15.726	21.92	15.726	6.39	15.726	52.42
15.776	202.85	15.776	21.98	15.776	6.47	15.776	52.59
15.826	194.14	15.826	22.05	15.826	6.40	15.826	52.75
15.876	199.75	15.876	22.11	15.876	6.49	15.876	52.92
15.927	173.20	15.927	22.17	15.927	6.48	15.927	53.09
15.977	163.33	15.977	22.24	15.977	6.48	15.977	53.26
16.027	155.11	16.027	22.30	16.027	6.50	16.027	53.42
16.077	159.08	16.077	22.36	16.077	6.50	16.077	53.59
16.127	154.49	16.127	22.43	16.127	6.48	16.127	53.76
16.177	161.64	16.177	22.49	16.177	6.53	16.177	53.92
16.227	166.64	16.227	22.55	16.227	6.46	16.227	54.09
16.277	146.78	16.277	22.62	16.277	6.49	16.277	54.26
16.327	133.86	16.327	22.68	16.327	6.45	16.327	54.42
16.377	113.20	16.377	22.74	16.377	6.43	16.377	54.59
16.427	131.68	16.427	22.81	16.427	6.44	16.427	54.76
16.477	122.33	16.477	22.87	16.477	6.48	16.477	54.92
16.528	124.32	16.528	22.93	16.528	6.42	16.528	55.09
16.578	104.68	16.578	23.00	16.578	6.46	16.578	55.26
16.628	109.81	16.628	23.06	16.628	6.44	16.628	55.43
16.678	99.02	16.678	23.13	16.678	6.48	16.678	55.59
16.728	104.49	16.728	23.19	16.728	6.47	16.728	55.76
16.778	88.07	16.778	23.25	16.778	6.39	16.778	55.93
16.828	84.74	16.828	23.32	16.828	6.44	16.828	56.09
16.878	97.87	16.878	23.38	16.878	6.41	16.878	56.26
16.928	61.94	16.928	23.44	16.928	6.49	16.928	56.43
16.978	72.98	16.978	23.51	16.978	6.41	16.978	56.59
17.028	96.16	17.028	23.57	17.028	6.43	17.028	56.76
17.078	66.24	17.078	23.63	17.078	6.44	17.078	56.93
17.129	76.22	17.129	23.70	17.129	6.29	17.129	57.10
17.179	63.51	17.179	23.76	17.179	6.45	17.179	57.26
17.229	58.17	17.229	23.82	17.229	6.42	17.229	57.43
17.279	70.38	17.279	23.89	17.279	6.42	17.279	57.60
17.329	40.96	17.329	23.95	17.329	6.34	17.329	57.76
17.379	81.97	17.379	24.01	17.379	6.40	17.379	57.93
17.429	65.00	17.429	24.08	17.429	6.46	17.429	58.10
17.479	60.65	17.479	24.14	17.479	6.51	17.479	58.26
17.529	62.43	17.529	24.20	17.529	6.38	17.529	58.43
17.579	48.99	17.579	24.27	17.579	6.49	17.579	58.60
17.629	60.26	17.629	24.33	17.629	6.29	17.629	58.76
17.679	51.98	17.679	24.39	17.679	6.35	17.679	58.93
17.730	72.68	17.730	24.46	17.730	6.43	17.730	59.10
17.780	52.92	17.780	24.52	17.780	6.32	17.780	59.27
17.830	55.82	17.830	24.58	17.830	6.30	17.830	59.43
17.880	59.57	17.880	24.65	17.880	6.41	17.880	59.60
17.930	45.19	17.930	24.71	17.930	6.46	17.930	59.77
17.980	59.90	17.980	24.77	17.980	6.37	17.980	59.93
18.030	58.50	18.030	24.84	18.030	6.48	18.030	60.10
18.080	30.53	18.080	24.90	18.080	6.44	18.080	60.27
18.130	62.90	18.130	24.96	18.130	6.44	18.130	60.43
18.180	49.91	18.180	25.03	18.180	6.38	18.180	60.60
18.230	55.64	18.230	25.09	18.230	6.39	18.230	60.77
18.280	46.94	18.280	25.16	18.280	6.34	18.280	60.93
18.331	38.46	18.331	25.22	18.331	6.45	18.331	61.10
18.381	63.17	18.381	25.28	18.381	6.30	18.381	61.27
18.431	52.86	18.431	25.35	18.431	6.43	18.431	61.44
18.481	39.77	18.481	25.41	18.481	6.40	18.481	61.60
18.531	58.01	18.531	25.47	18.531	6.40	18.531	61.77
18.581	32.28	18.581	25.54	18.581	6.39	18.581	61.94
18.631	33.43	18.631	25.60	18.631	6.35	18.631	62.10
18.681	64.38	18.681	25.66	18.681	6.34	18.681	62.27
18.731	50.86	18.731	25.73	18.731	6.38	18.731	62.44
18.781	43.19	18.781	25.79	18.781	6.31	18.781	62.60
18.831	50.59	18.831	25.85	18.831	6.39	18.831	62.77
18.881	47.26	18.881	25.92	18.881	6.41	18.881	62.94
18.932	47.90	18.932	25.98	18.932	6.41	18.932	63.11
18.982	56.01	18.982	26.04	18.982	6.34	18.982	63.27
19.032	63.33	19.032	26.11	19.032	6.39	19.032	63.44
19.082	59.94	19.082	26.17	19.082	6.36	19.082	63.61
19.132	65.05	19.132	26.23	19.132	6.32	19.132	63.77
19.182	68.89	19.182	26.30	19.182	6.49	19.182	63.94
19.232	44.29	19.232	26.36	19.232	6.42	19.232	64.11
19.282	60.23	19.282	26.42	19.282	6.35	19.282	64.27
19.332	43.43	19.332	26.49	19.332	6.33	19.332	64.44
19.382	49.00	19.382	26.55	19.382	6.35	19.382	64.61
19.432	33.28	19.432	26.61	19.432	6.32	19.432	64.77
19.482	43.64	19.482	26.68	19.482	6.30	19.482	64.94
19.533	42.38	19.533	26.74	19.533	6.41	19.533	65.11
19.583	55.03	19.583	26.80	19.583	6.44	19.583	65.28
19.633	47.16	19.633	26.87	19.633	6.34	19.633	65.44
19.683	29.00	19.683	26.93	19.683	6.32	19.683	65.61
19.733	49.45	19.733	26.99	19.733	6.33	19.733	65.78
19.783	43.37	19.783	27.06	19.783	6.31	19.783	65.94
19.833	66.06	19.833	27.12	19.833	6.29	19.833	66.11
19.883	38.49	19.883	27.19	19.883	6.43	19.883	66.28
19.933	51.01	19.933	27.25	19.933	6.29	19.933	66.44
19.983	57.55	19.983	27.31	19.983	6.40	19.983	66.61
20.033	49.57	20.033	27.38	20.033	6.35	20.033	66.78
20.083	45.73	20.083	27.44	20.083	6.33	20.083	66.94
20.134	37.18	20.134	27.50	20.134	6.36	20.134	67.11
20.184	55.95	20.184	27.57	20.184	6.34	20.184	67.28
20.234	35.91	20.234	27.63	20.234	6.34	20.234	67.45
20.284	51.06	20.284	27.69	20.284	6.31	20.284	67.61
20.334	62.63	20.334	27.76	20.334	6.36	20.334	67.78
20.384	43.54	20.384	27.82	20.384	6.38	20.384	67.95
20.434	44.61	20.434	27.88	20.434	6.21	20.434	68.11
20.484	53.15	20.484	27.95	20.484	6.22	20.484	68.28
20.534	48.10	20.534	28.01	20.534	6.29	20.534	68.45
20.584	49.01	20.584	28.07	20.584	6.29	20.584	68.61
20.634	46.72	20.634	28.14	20.634	6.42	20.634	68.78
20.684	27.76	20.684	28.20	20.684	6.41	20.684	68.95
20.735	63.06	20.735	28.26	20.735	6.34	20.735	69.12
20.785	63.84	20.785	28.33	20.785	6.37	20.785	69.28
20.835	64.79	20.835	28.39	20.835	6.34	20.835	69.45
20.885	39.88	20.885	28.45	20.885	6.25	20.885	69.62
20.935	49.91	20.935	28.52	20.935	6.30	20.935	69.78
20.985	63.66	20.985	28.58	20.985	6.26	20.985	69.95
21.035	50.18	21.035	28.64	21.035	6.27	21.035	70.12
21.085	72.44	21.085	28.71	21.085	6.32	21.085	70.28
21.135	55.46	21.135	28.77	21.135	6.36	21.135	70.45
21.185	43.86	21.185	28.83	21.185	6.34	21.185	70.62
21.235	25.00	21.235	28.90	21.235	6.29	21.235	70.78
21.285	38.64	21.285	28.96	21.285	6.25	21.285	70.95
21.336	44.76	21.336	29.03	21.336	6.31	21.336	71.12
21.386	26.78	21.386	29.09	21.386	6.29	21.386	71.29
21.436	49.51	21.436	29.15	21.436	6.30	21.436	71.45
21.486	49.79	21.486	29.22	21.486	6.26	21.486	71.62
21.536	59.76	21.536	29.28	21.536	6.30	21.536	71.79
21.586	46.73	21.586	29.34	21.586	6.32	21.586	71.95
